,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser
1011,abcnews.go.com,http://abcnews.go.com/Nightline/video/organ-donors-mother-meets-transplant-recipients-43678675,Reliable,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,-1,-1,1,0,0,0,0,1
1012,abcnews.go.com,http://abcnews.go.com/US/thanksgiving-travel-leave/story?id=43693109,Reliable,194,3759,4043,235,15600.63333,183,11,9,9,80,69,16,8,3,80.83229706,638.7469775,10,0,0,2,182,1.021052632
1013,www.sfgate.com,http://www.sfgate.com/business/article/A-running-list-of-how-Donald-Trump-s-new-position-10628461.php,Reliable,2,0,0,0,0.083333333,2,0,2,0,0,0,0,0,0,0.083333333,0.083333333,2,0,0,0,0,1
1014,indianexpress.com,http://indianexpress.com/article/india/india-news-india/kashmir-poor-visibility-leads-to-cancellation-of-flights-in-srinagar-4387171/,Reliable,2,5,10,0,0.766666667,2,0,2,0,0,0,0,0,0,0.766666667,0.766666667,2,0,0,0,0,1
1015,abcnews.go.com,http://abcnews.go.com/International/wireStory/taps-dry-bolivia-declares-water-emergency-drought-43695129,Reliable,4,0,0,0,0.516666667,4,0,4,0,0,0,0,0,0,0.172222222,0.305555556,4,0,0,0,0,1
1016,abcnews.go.com,http://abcnews.go.com/Sports/wireStory/fraternizing-enemy-nba-coaches-set-43685423,Reliable,4,0,0,0,-1,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1.333333333
1017,indianexpress.com,http://indianexpress.com/article/world/world-news/pope-francis-extends-power-to-forgive-abortion-to-all-roman-catholic-priests-4387848/,Reliable,5,4,15,1,1705.65,5,0,3,2,0,0,0,0,0,426.4125,1688.4375,1,0,0,0,4,1.25
1018,www.latimes.com,http://www.latimes.com/sports/clippers/la-sp-wesley-johnson-injury-20161121-story.html,Reliable,28,4,8,0,21.81666667,28,0,19,9,0,0,0,0,0,0.808024691,4.588888889,20,5,0,3,0,1.037037037
1019,indianexpress.com,http://indianexpress.com/article/world/world-news/former-greek-president-constantine-stephanopoulos-dies-at-90-4386772/,Reliable,4,3,5,0,38.63333333,4,0,3,1,0,0,0,0,0,12.87777778,13.03333333,3,0,0,0,1,1
1020,www.sfgate.com,http://www.sfgate.com/news/article/Massachusetts-man-sues-neighbor-over-seagull-mess-10627433.php,Reliable,1,0,0,0,-1,1,0,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,1
