,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe
3454,www.wsj.com,http://www.wsj.com/articles/rikers-island-violence-scrutinized-1479257896,Reliable,-1,-1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,-1,-1,-1,-1,1,9,10,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,2,1,1,-1,-1,-1,-1,-1,-1,-1
3455,www.sfgate.com,http://www.sfgate.com/business/article/Internet-security-needs-to-improve-feds-say-10616805.php,Reliable,-1,-1,46,-1,-1,40,2,-1,-1,-1,8,4,-1,-1,11,5,43,2,-1,-1,7,-1,114,62,-1,95,-1,-1,-1,-1,25,2,-1,-1,-1,-1,-1,21,30,22,18,12,7,-1,-1,1,-1,-1,-1,-1
3456,www.cnbc.com,http://www.cnbc.com/2016/11/16/steve-bannon-could-be-wall-street-worst-enemy.html,Reliable,-1,-1,35,1,1,25,6,-1,-1,-1,23,2,-1,-1,3,3,36,1,2,-1,5,-1,101,77,3,37,-1,-1,-1,-1,29,1,-1,1,3,-1,-1,26,30,10,9,13,7,-1,-1,-1,-1,-1,-1,2
3457,nypost.com,http://nypost.com/2016/11/15/doctor-who-threatened-to-kill-wife-wants-his-18-guns-back/,Reliable,-1,-1,19,-1,-1,21,2,-1,-1,-1,10,-1,-1,-1,3,2,16,-1,-1,-1,2,-1,87,58,1,15,-1,-1,1,-1,12,1,-1,1,-1,-1,-1,9,20,15,10,6,8,-1,-1,-1,-1,-1,-1,-1
3458,www.cnbc.com,http://www.cnbc.com/2016/11/16/jay-leno-avoid-cars-from-the-80s.html,Reliable,-1,9,25,1,1,24,5,-1,-1,-1,12,1,-1,-1,1,3,18,1,1,-1,3,-1,40,49,2,34,-1,-1,-1,-1,18,1,-1,-1,1,-1,1,3,7,8,4,5,10,1,-1,-1,-1,-1,-1,5
3459,www.cnbc.com,http://www.cnbc.com/2016/11/16/goldman-sees-trump-creating-more-aggressive-fed-ambiguous-growth.html,Reliable,-1,9,23,5,5,31,-1,-1,-1,-1,19,1,-1,-1,5,3,50,13,-1,-1,8,-1,129,58,1,34,-1,-1,-1,-1,25,-1,-1,-1,-1,1,-1,15,16,9,12,14,10,-1,-1,-1,-1,-1,-1,7
3460,newsinfo.inquirer.net,http://newsinfo.inquirer.net/844929/news-briefs-251,Reliable,-1,-1,18,3,3,12,-1,-1,-1,-1,7,-1,-1,-1,1,1,12,-1,-1,-1,-1,-1,48,70,1,19,-1,-1,-1,-1,3,-1,-1,-1,2,-1,-1,3,12,2,4,4,2,-1,-1,-1,-1,-1,-1,-1
3461,www.cbssports.com,http://www.cbssports.com/mlb/news/mlb-hot-stove-rumors-free-agent-slugger-carlos-beltran-down-to-four-al-teams/,Reliable,-1,-1,21,2,2,15,2,-1,-1,-1,16,-1,-1,-1,4,1,19,1,-1,-1,4,-1,39,44,9,18,-1,-1,-1,-1,11,-1,-1,1,1,-1,-1,9,9,7,3,3,4,-1,-1,-1,-1,-1,-1,-1
3462,uk.reuters.com,http://uk.reuters.com/article/us-usa-surgeon-general-addiction-idUKKBN13C0OX,Reliable,5,6,30,2,2,27,1,-1,-1,-1,27,1,-1,-1,4,3,26,4,-1,-1,-1,-1,131,69,1,40,-1,-1,-1,-1,13,-1,-1,-1,1,-1,-1,10,26,16,8,12,9,-1,-1,-1,-1,-1,-1,4
3463,www.businessinsider.com,http://www.businessinsider.com/wells-fargo-new-accounts-cratered-after-accounts-scandal-2016-11,Reliable,-1,2,7,-1,-1,11,-1,-1,-1,-1,8,-1,-1,-1,1,1,20,-1,-1,-1,-1,-1,38,29,1,20,-1,-1,-1,-1,3,-1,-1,-1,1,-1,-1,2,11,5,7,3,1,-1,-1,-1,-1,-1,-1,2
